,asset,date,count
0,BTC,2021-12-19,9
1,BTC,2021-12-20,25
2,BTC,2021-12-21,35
3,BTC,2021-12-22,23
4,BTC,2021-12-23,18
5,BTC,2021-12-24,20
6,BTC,2021-12-25,13
7,BTC,2021-12-26,8
8,BTC,2021-12-27,33
9,BTC,2021-12-28,21
10,BTC,2021-12-29,36
11,BTC,2021-12-30,37
12,BTC,2021-12-31,60
13,BTC,2022-01-01,17
14,BTC,2022-01-02,19
15,BTC,2022-01-03,21
16,BTC,2022-01-04,15
17,BTC,2022-01-05,14
18,BTC,2022-01-06,19
19,BTC,2022-01-07,21
20,BTC,2022-01-08,6
21,BTC,2022-01-09,10
22,BTC,2022-01-10,15
23,BTC,2022-01-11,13
24,BTC,2022-01-12,13
25,BTC,2022-01-13,22
26,BTC,2022-01-14,38
27,BTC,2022-01-15,20
28,BTC,2022-01-16,6
29,BTC,2022-01-17,12
30,BTC,2022-01-18,7
31,BTC,2022-01-19,11
32,BTC,2022-01-20,12
33,BTC,2022-01-21,17
34,BTC,2022-01-22,8
35,BTC,2022-01-23,5
36,BTC,2022-01-24,7
37,BTC,2022-01-25,7
38,BTC,2022-01-26,8
39,BTC,2022-01-27,9
40,BTC,2022-01-28,25
41,BTC,2022-01-29,5
42,BTC,2022-01-30,9
43,BTC,2022-01-31,4
44,BTC,2022-02-01,11
45,BTC,2022-02-02,4
46,BTC,2022-02-03,9
47,BTC,2022-02-04,13
48,BTC,2022-02-05,3
49,BTC,2022-02-06,3
50,BTC,2022-02-07,2
51,BTC,2022-02-08,6
52,BTC,2022-02-09,6
53,BTC,2022-02-10,10
54,BTC,2022-02-11,6
55,BTC,2022-02-12,4
56,BTC,2022-02-13,4
57,BTC,2022-02-14,5
58,BTC,2022-02-15,8
59,BTC,2022-02-16,8
60,BTC,2022-02-17,8
61,BTC,2022-02-18,10
62,ETH,2021-12-21,1
63,ETH,2021-12-23,1
64,ETH,2021-12-24,12
65,ETH,2021-12-25,6
66,ETH,2021-12-26,14
67,ETH,2021-12-27,23
68,ETH,2021-12-28,16
69,ETH,2021-12-29,16
70,ETH,2021-12-30,17
71,ETH,2021-12-31,17
72,ETH,2022-01-01,21
73,ETH,2022-01-02,11
74,ETH,2022-01-03,26
75,ETH,2022-01-04,14
76,ETH,2022-01-05,9
77,ETH,2022-01-06,16
78,ETH,2022-01-07,9
79,ETH,2022-01-08,5
80,ETH,2022-01-09,8
81,ETH,2022-01-10,7
82,ETH,2022-01-11,10
83,ETH,2022-01-12,9
84,ETH,2022-01-13,16
85,ETH,2022-01-14,34
86,ETH,2022-01-15,20
87,ETH,2022-01-16,8
88,ETH,2022-01-17,11
89,ETH,2022-01-18,9
90,ETH,2022-01-19,9
91,ETH,2022-01-20,14
92,ETH,2022-01-21,11
93,ETH,2022-01-22,6
94,ETH,2022-01-23,5
95,ETH,2022-01-24,4
96,ETH,2022-01-25,2
97,ETH,2022-01-26,4
98,ETH,2022-01-27,4
99,ETH,2022-01-28,13
100,ETH,2022-01-29,4
101,ETH,2022-01-30,7
102,ETH,2022-01-31,3
103,ETH,2022-02-01,4
104,ETH,2022-02-02,6
105,ETH,2022-02-03,9
106,ETH,2022-02-04,12
107,ETH,2022-02-05,5
108,ETH,2022-02-06,4
109,ETH,2022-02-07,4
110,ETH,2022-02-08,1
111,ETH,2022-02-10,2
112,ETH,2022-02-11,3
113,ETH,2022-02-12,3
114,ETH,2022-02-13,1
115,ETH,2022-02-14,6
116,ETH,2022-02-15,6
117,ETH,2022-02-16,4
118,ETH,2022-02-17,5
119,ETH,2022-02-18,5
120,FTT,2021-12-24,18
121,FTT,2021-12-25,20
122,FTT,2021-12-26,13
123,FTT,2021-12-27,13
124,FTT,2021-12-28,10
125,FTT,2021-12-29,9
126,FTT,2021-12-30,12
127,FTT,2021-12-31,44
128,FTT,2022-01-01,29
129,FTT,2022-01-02,23
130,FTT,2022-01-03,34
131,FTT,2022-01-04,32
132,FTT,2022-01-05,21
133,FTT,2022-01-06,9
134,FTT,2022-01-07,17
135,FTT,2022-01-08,7
136,FTT,2022-01-09,10
137,FTT,2022-01-10,11
138,FTT,2022-01-11,9
139,FTT,2022-01-12,8
140,FTT,2022-01-13,13
141,FTT,2022-01-14,30
142,FTT,2022-01-15,20
143,FTT,2022-01-16,11
144,FTT,2022-01-17,15
145,FTT,2022-01-18,15
146,FTT,2022-01-19,11
147,FTT,2022-01-20,9
148,FTT,2022-01-21,11
149,FTT,2022-01-22,5
150,FTT,2022-01-23,5
151,FTT,2022-01-24,5
152,FTT,2022-01-25,13
153,FTT,2022-01-26,9
154,FTT,2022-01-27,6
155,FTT,2022-01-28,9
156,FTT,2022-01-29,3
157,FTT,2022-01-30,2
158,FTT,2022-01-31,6
159,FTT,2022-02-01,24
160,FTT,2022-02-02,64
161,FTT,2022-02-03,87
162,FTT,2022-02-04,26
163,FTT,2022-02-05,6
164,FTT,2022-02-06,4
165,FTT,2022-02-07,6
166,FTT,2022-02-08,3
167,FTT,2022-02-09,6
168,FTT,2022-02-10,7
169,FTT,2022-02-11,6
170,FTT,2022-02-12,5
171,FTT,2022-02-13,7
172,FTT,2022-02-14,4
173,FTT,2022-02-15,5
174,FTT,2022-02-16,5
175,FTT,2022-02-17,2
176,FTT,2022-02-18,9
177,LUNA,2021-12-30,41
178,LUNA,2021-12-31,13
179,LUNA,2022-01-01,2
180,LUNA,2022-01-02,11
181,LUNA,2022-01-03,55
182,LUNA,2022-01-04,35
183,LUNA,2022-01-05,48
184,LUNA,2022-01-06,69
185,LUNA,2022-01-07,23
186,LUNA,2022-01-08,1
187,LUNA,2022-01-10,37
188,LUNA,2022-01-11,68
189,LUNA,2022-01-12,21
190,LUNA,2022-01-13,77
191,LUNA,2022-01-14,74
192,LUNA,2022-01-15,80
193,LUNA,2022-01-16,64
194,LUNA,2022-01-17,39
195,LUNA,2022-01-18,48
196,LUNA,2022-01-19,45
197,LUNA,2022-01-20,47
198,LUNA,2022-01-21,42
199,LUNA,2022-01-22,19
200,LUNA,2022-01-23,31
201,LUNA,2022-01-24,28
202,LUNA,2022-01-25,25
203,LUNA,2022-01-26,27
204,LUNA,2022-01-27,31
205,LUNA,2022-01-28,61
206,LUNA,2022-01-29,21
207,LUNA,2022-01-30,29
208,LUNA,2022-01-31,22
209,LUNA,2022-02-01,21
210,LUNA,2022-02-02,17
211,LUNA,2022-02-03,27
212,LUNA,2022-02-04,29
213,LUNA,2022-02-05,18
214,LUNA,2022-02-06,13
215,LUNA,2022-02-07,13
216,LUNA,2022-02-08,18
217,LUNA,2022-02-09,14
